Property Type,Location,Price (€),Surface (m²),Rooms,Floor,Zip Code,Neighborhood,Address
Apartment,Berlin,260.000 €,42,2,2,13158,Rosenthal,"Rosenthal, Berlin"
Apartment,Berlin,1.423.000 €,223,4,N/A,14193,Westend,"Westend, Berlin"
Apartment,Berlin,399.500 €,72.2,3,N/A,14167,Lichterfelde,"Lichterfelde, Berlin"
Apartment,Berlin-Neukölln,247.900 €,37,1,1,12049,Neukölln,"Neukölln, Berlin-Neukölln"
Apartment,Berlin,470.000 €,85,3,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,370.000 €,74,2,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,610.000 €,165,5,N/A,12047,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,55.000 €,31,1,N/A,10713,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,56.000 €,31,1,N/A,10713,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,390.000 €,71,2,N/A,14057,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,60 €,107.5,4,3,13158,Rosenthal,"Rosenthal, Berlin"
Apartment,Berlin,215.000 €,35,1,N/A,10629,Charlottenburg,"Charlottenburg, Berlin"
Wohnung zur Zwangsversteigerung,Berlin,287.000 €,85,Unknown,N/A,12459,Oberschöneweide,"Oberschöneweide, Berlin"
Wohnung zur Zwangsversteigerung,Berlin,440.000 €,87,Unknown,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Wohnung zur Zwangsversteigerung,Berlin,530.000 €,106,Unknown,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,299.000 €,74.7,3,4,13595,Wilhelmstadt,"Wilhelmstadt, Berlin"
Apartment,Berlin,460.000 €,65,3,3,10715,Wilmersdorf,"Durlacherstr., Wilmersdorf, Berlin"
Apartment,Berlin,298.800 €,54,2,N/A,10409,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,240.000 €,36.9,1,4,10243,Friedrichshain,"Gubener Str. 17, Friedrichshain, Berlin"
Penthouse,Berlin,3.595.000 €,284,4,5,10115,Mitte,"Mitte, Berlin"
Apartment,Berlin,395.000 €,72,2,4,13347,Gesundbrunnen,"Gesundbrunnen, Berlin"
Apartment,Berlin,2.050.000 €,170,5,5,10707,Charlottenburg,"Kurfürstendamm 193, Charlottenburg, Berlin"
Apartment,Berlin,494.000 €,65,3,3,10247,Friedrichshain,"Friedrichshain, Berlin"
Penthouse,Berlin,1.990.000 €,249,6,5,13187,Pankow,"Pankow, Berlin"
Penthouse,Berlin,1.530.000 €,182,4,5,13187,Pankow,"Pankow, Berlin"
Apartment,Berlin,349.000 €,53,2,N/A,10717,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,555.000 €,96,2,N/A,12049,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,249.000 €,38.6,1,N/A,10436,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,290.000 €,58,2,N/A,12051,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,995.000 €,199.9,7,N/A,10553,Moabit,"Moabit, Berlin"
Apartment,Berlin,730.000 €,125,4,4,13407,Reinickendorf,"Roedernallee 177, Reinickendorf, Berlin"
Apartment,Berlin,695.000 €,96,3,3,10717,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin-Wilmersdorf,695.000 €,104,3,N/A,10709,Wilmersdorf,"Wilmersdorf, Berlin-Wilmersdorf"
Apartment,Berlin,580.000 €,73,3,N/A,10405,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
